,train,val,lr
0,3.279167927860982e-07,3.0057361e-05,[0.001]
1,-3.109871187234603e-07,1.1526083e-06,[0.000999999989033773]
2,-5.647504508488055e-07,-7.435838e-07,[0.0009999999561350922]
3,-7.281537648395897e-07,-9.009858e-07,[0.0009999999013039593]
4,-8.217501999752131e-07,-8.196374e-07,[0.0009999998245403766]
5,-9.26716967342145e-07,-9.917276e-07,[0.0009999997258443474]
6,-1.0041247776371164e-06,-1.0859861e-06,[0.000999999605215876]
7,-1.0607531180539808e-06,-1.0309773e-06,[0.0009999994626549678]
8,-1.1327391462145898e-06,-1.188883e-06,[0.0009999992981616292]
9,-1.1468203297226865e-06,-1.2935013e-06,[0.000999999111735867]
10,-1.2300438697820938e-06,-1.1316961e-06,[0.00099999890337769]
11,-1.2596863825820037e-06,-1.173895e-06,[0.0009999986730871064]
12,-1.2712405919046432e-06,-1.2598248e-06,[0.0009999984208641272]
13,-1.2950290624758054e-06,-1.3180884e-06,[0.000999998146708763]
14,-1.3920844253334507e-06,-1.3415099e-06,[0.000999997850621026]
15,-1.3741285442847584e-06,-1.1776698e-06,[0.0009999975326009292]
16,-1.4415746250051598e-06,-1.47551e-06,[0.0009999971926484862]
17,-1.4462157423622556e-06,-1.273762e-06,[0.0009999968307637126]
18,-1.478954720823822e-06,-1.5092709e-06,[0.0009999964469466235]
19,-1.4930800602996896e-06,-1.3913224e-06,[0.0009999960411972366]
20,-1.5566326396765362e-06,-1.3143145e-06,[0.000999995613515569]
21,-1.6118123767228098e-06,-1.5491604e-06,[0.0009999951639016397]
22,-1.6395600027863112e-06,-1.5939239e-06,[0.0009999946923554682]
23,-1.6966282714747649e-06,-1.6843813e-06,[0.0009999941988770755]
24,-1.6743088167459063e-06,-1.664179e-06,[0.000999993683466483]
25,-1.7630500451559782e-06,-1.625261e-06,[0.0009999931461237136]
26,-1.77236302079109e-06,-1.5804951e-06,[0.0009999925868487906]
27,-1.814499501051614e-06,-1.808305e-06,[0.0009999920056417387]
28,-1.8425478174322052e-06,-1.9607533e-06,[0.0009999914025025836]
29,-1.8778226376525708e-06,-1.7632875e-06,[0.000999990777431351]
30,-1.9337850858391903e-06,-1.8613204e-06,[0.0009999901304280688]
31,-1.9165063804393865e-06,-1.7322251e-06,[0.0009999894614927656]
32,-1.9677978684740085e-06,-1.9604995e-06,[0.0009999887706254706]
33,-1.994184606246563e-06,-1.6363434e-06,[0.000999988057826214]
34,-2.001352504521492e-06,-1.8007697e-06,[0.0009999873230950268]
35,-2.056004950645729e-06,-1.917808e-06,[0.0009999865664319417]
36,-2.0000248468932115e-06,-2.0766056e-06,[0.000999985787836992]
37,-2.0702392703242366e-06,-1.9062347e-06,[0.0009999849873102112]
38,-2.097518495247641e-06,-1.9252843e-06,[0.000999984164851635]
39,-2.124610568898788e-06,-2.2289964e-06,[0.000999983320461299]
40,-2.1277486439430504e-06,-2.0155571e-06,[0.0009999824541392407]
41,-2.082209744003194e-06,-2.2003576e-06,[0.0009999815658854978]
42,-2.124324510077713e-06,-2.115196e-06,[0.0009999806557001096]
43,-2.1537249040193275e-06,-2.0693008e-06,[0.0009999797235831155]
44,-2.1641062858179793e-06,-2.0996529e-06,[0.0009999787695345568]
45,-2.1329956553017836e-06,-2.2279673e-06,[0.0009999777935544754]
46,-2.1788833464597703e-06,-2.0375242e-06,[0.0009999767956429138]
47,-2.237508033431368e-06,-2.1872145e-06,[0.0009999757757999158]
48,-2.18841855712526e-06,-2.2255656e-06,[0.0009999747340255262]
49,-2.1873481045986408e-06,-2.2937343e-06,[0.000999973670319791]
50,-2.2278334199654637e-06,-2.084589e-06,[0.0009999725846827564]
51,-2.231654138995509e-06,-2.2278662e-06,[0.0009999714771144704]
52,-2.2062047037252342e-06,-2.056616e-06,[0.0009999703476149813]
53,-2.2094058067523292e-06,-2.207833e-06,[0.0009999691961843388]
54,-2.2089685444370844e-06,-2.226074e-06,[0.0009999680228225934]
55,-2.246489316348743e-06,-2.3799178e-06,[0.0009999668275297963]
56,-2.2955011672820548e-06,-2.1145202e-06,[0.0009999656103060004]
57,-2.248203963972628e-06,-2.2791462e-06,[0.000999964371151259]
58,-2.32691697874543e-06,-2.1920769e-06,[0.0009999631100656259]
59,-2.211856565281778e-06,-2.2195711e-06,[0.000999961827049157]
60,-2.2700477529724593e-06,-2.0710254e-06,[0.0009999605221019084]
61,-2.2763433435102343e-06,-2.0674288e-06,[0.0009999591952239374]
62,-2.3158069552664527e-06,-2.0616326e-06,[0.000999957846415302]
63,-2.2551134179593644e-06,-2.0285852e-06,[0.0009999564756760617]
64,-2.257301684949198e-06,-2.239575e-06,[0.0009999550830062764]
65,-2.3333092485700035e-06,-2.3533532e-06,[0.0009999536684060072]
66,-2.276204577356111e-06,-2.3290504e-06,[0.0009999522318753162]
67,-2.2569769271285622e-06,-2.180121e-06,[0.0009999507734142665]
68,-2.3215111468744e-06,-2.0905813e-06,[0.0009999492930229219]
69,-2.3262464765139155e-06,-2.3519272e-06,[0.0009999477907013474]
70,-2.312626679668028e-06,-2.3026787e-06,[0.000999946266449609]
71,-2.3474202635043184e-06,-2.2404472e-06,[0.0009999447202677734]
72,-2.397597882008995e-06,-2.4067313e-06,[0.0009999431521559084]
73,-2.258266636090411e-06,-2.003566e-06,[0.0009999415621140832]
74,-2.3620466663487604e-06,-2.1107476e-06,[0.000999939950142367]
75,-2.3718196416666614e-06,-2.0170944e-06,[0.0009999383162408307]
76,-2.3298707674257457e-06,-2.1880362e-06,[0.0009999366604095462]
77,-2.362986515436205e-06,-2.4126293e-06,[0.0009999349826485858]
78,-2.4031904786170344e-06,-2.3250188e-06,[0.0009999332829580233]
79,-2.38246855133184e-06,-2.4241842e-06,[0.000999931561337933]
80,-2.3535867057944417e-06,-2.3150462e-06,[0.000999929817788391]
81,-2.354358252887323e-06,-2.2245317e-06,[0.0009999280523094731]
82,-2.351200419070665e-06,-2.3474636e-06,[0.0009999262649012571]
83,-2.3321621938521277e-06,-2.43991e-06,[0.0009999244555638212]
84,-2.332960093553993e-06,-2.317113e-06,[0.000999922624297245]
85,-2.2975450519879814e-06,-2.22988e-06,[0.0009999207711016088]
86,-2.3262347212948953e-06,-1.8534665e-06,[0.0009999188959769938]
87,-2.3948881334945328e-06,-2.3583195e-06,[0.0009999169989234823]
88,-2.366533112763136e-06,-2.4245667e-06,[0.0009999150799411575]
89,-2.450066949677421e-06,-2.268414e-06,[0.0009999131390301037]
90,-2.422443549221498e-06,-2.3574291e-06,[0.0009999111761904056]
91,-2.398766650912876e-06,-2.455192e-06,[0.0009999091914221498]
92,-2.4372198822675274e-06,-2.4585768e-06,[0.000999907184725423]
93,-2.367323759244755e-06,-2.201675e-06,[0.0009999051561003134]
94,-2.3761126612953376e-06,-2.2992144e-06,[0.00099990310554691]
95,-2.4865640625648667e-06,-2.4434744e-06,[0.0009999010330653028]
96,-2.4466671220579885e-06,-2.3176244e-06,[0.0009998989386555824]
97,-2.479925865372934e-06,-2.3218136e-06,[0.0009998968223178411]
98,-2.462930638102989e-06,-2.3208302e-06,[0.0009998946840521715]
99,-2.4508073011020315e-06,-2.1916683e-06,[0.0009998925238586674]
100,-2.4387072699028067e-06,-2.3514765e-06,[0.0009998903417374238]
101,-2.4128989480232123e-06,-2.1541816e-06,[0.000999888137688536]
102,-2.361171436859877e-06,-2.4711399e-06,[0.000999885911712101]
103,-2.418010672045057e-06,-2.3327016e-06,[0.0009998836638082163]
104,-2.4750084776314908e-06,-2.5833665e-06,[0.0009998813939769806]
105,-2.472714754730987e-06,-2.4445046e-06,[0.0009998791022184934]
106,-2.4601718450867336e-06,-2.2866993e-06,[0.000999876788532855]
107,-2.4389881673414494e-06,-2.2470795e-06,[0.000999874452920167]
108,-2.444393885525642e-06,-2.4268395e-06,[0.0009998720953805322]
109,-2.4313944777532015e-06,-2.3998587e-06,[0.0009998697159140538]
110,-2.4580802346463313e-06,-2.4261165e-06,[0.000999867314520836]
111,-2.5032328494489775e-06,-2.195407e-06,[0.0009998648912009846]
112,-2.4845732014000532e-06,-2.4966832e-06,[0.0009998624459546055]
113,-2.4511617311873126e-06,-2.3270818e-06,[0.0009998599787818061]
114,-2.554626644268865e-06,-2.7262745e-06,[0.0009998574896826944]
115,-2.4808936132103554e-06,-2.4308122e-06,[0.0009998549786573799]
116,-2.4713512630114566e-06,-2.4238775e-06,[0.0009998524457059722]
117,-2.535824296501232e-06,-2.1100423e-06,[0.0009998498908285831]
118,-2.5390543214598438e-06,-2.4240137e-06,[0.0009998473140253245]
119,-2.505159591237316e-06,-2.4322721e-06,[0.0009998447152963091]
120,-2.526744424358185e-06,-2.47673e-06,[0.0009998420946416512]
121,-2.467545664330828e-06,-2.3917505e-06,[0.0009998394520614657]
122,-2.5311208901257488e-06,-2.4248038e-06,[0.0009998367875558684]
123,-2.5072312155316467e-06,-2.4777185e-06,[0.0009998341011249762]
124,-2.5156674382742495e-06,-2.4666674e-06,[0.000999831392768907]
125,-2.525182617318933e-06,-2.6253542e-06,[0.0009998286624877796]
126,-2.532440976210637e-06,-2.037429e-06,[0.000999825910281714]
127,-2.5562092559994197e-06,-2.5245438e-06,[0.0009998231361508306]
128,-2.5743405103639818e-06,-2.3954638e-06,[0.000999820340095251]
129,-2.516631639082334e-06,-2.4199824e-06,[0.0009998175221150982]
130,-2.5041000753844855e-06,-2.525745e-06,[0.0009998146822104955]
131,-2.5134769657597643e-06,-2.3320845e-06,[0.0009998118203815676]
132,-2.5800431103562004e-06,-2.571744e-06,[0.0009998089366284402]
133,-2.543714231251215e-06,-2.5271302e-06,[0.0009998060309512394]
134,-2.5720437179188594e-06,-2.3854234e-06,[0.0009998031033500929]
135,-2.5077865984712843e-06,-2.4849203e-06,[0.0009998001538251292]
136,-2.4622905129945137e-06,-2.4450546e-06,[0.0009997971823764776]
137,-2.4745633481870753e-06,-2.310704e-06,[0.0009997941890042684]
138,-2.4926777314249192e-06,-2.2687932e-06,[0.000999791173708633]
139,-2.5029889002325944e-06,-2.3439636e-06,[0.0009997881364897036]
140,-2.549796704442997e-06,-2.3642644e-06,[0.0009997850773476133]
141,-2.5574694063834614e-06,-2.3677178e-06,[0.0009997819962824965]
142,-2.5595222496122006e-06,-2.4724643e-06,[0.0009997788932944885]
143,-2.570667447798769e-06,-2.416378e-06,[0.000999775768383725]
144,-2.5353519049531314e-06,-2.7038318e-06,[0.0009997726215503432]
145,-2.583164155112172e-06,-2.5646893e-06,[0.0009997694527944813]
146,-2.540566219977336e-06,-2.350104e-06,[0.0009997662621162781]
147,-2.5377303927598406e-06,-2.5017796e-06,[0.0009997630495158737]
148,-2.5719478571772926e-06,-2.5221805e-06,[0.0009997598149934087]
149,-2.5058605842787075e-06,-2.7279466e-06,[0.0009997565585490257]
150,-2.5659403718236717e-06,-2.4793887e-06,[0.0009997532801828669]
151,-2.56094685937569e-06,-2.4700657e-06,[0.0009997499798950762]
152,-2.5967015062633436e-06,-2.2646511e-06,[0.0009997466576857985]
153,-2.570473088781e-06,-2.5417908e-06,[0.0009997433135551796]
154,-2.6162712629229644e-06,-2.5250147e-06,[0.000999739947503366]
155,-2.6469996100786376e-06,-2.6711657e-06,[0.0009997365595305057]
156,-2.6009543262262013e-06,-2.3579191e-06,[0.0009997331496367468]
157,-2.5888842856147676e-06,-2.4325846e-06,[0.0009997297178222391]
