,train,val,lr
0,-1.7649085293669486e-06,0.00022698924,[0.001]
1,-4.8018565848906295e-06,1.4984298e-06,[0.0009999999753259891]
2,-5.591236731561366e-06,-4.6527553e-06,[0.0009999999013039593]
3,-6.498990842374042e-06,-6.170686e-06,[0.0009999997779339175]
4,-6.980611351536936e-06,-6.958379e-06,[0.000999999605215876]
5,-7.303485745069338e-06,-6.796364e-06,[0.0009999993831498518]
6,-7.579400380564038e-06,-7.0373258e-06,[0.000999999111735867]
7,-7.951056977617554e-06,-7.908741e-06,[0.0009999987909739482]
8,-8.093773612927179e-06,-7.609459e-06,[0.0009999984208641272]
9,-8.41785504235304e-06,-8.120012e-06,[0.0009999980014064405]
10,-8.672167768963846e-06,-8.140987e-06,[0.0009999975326009294]
11,-8.761446770222392e-06,-8.390575e-06,[0.00099999701444764]
12,-8.871589125192259e-06,-8.812228e-06,[0.0009999964469466238]
13,-9.060182310349774e-06,-8.504671e-06,[0.0009999958300979368]
14,-9.027280611917377e-06,-9.296789e-06,[0.0009999951639016397]
15,-9.335631420981372e-06,-8.702238e-06,[0.0009999944483577983]
16,-9.328299165645149e-06,-8.822702e-06,[0.000999993683466483]
17,-9.49592449615011e-06,-9.269746e-06,[0.0009999928692277697]
18,-9.322096411779058e-06,-9.239316e-06,[0.0009999920056417387]
19,-9.50825187828741e-06,-8.968504e-06,[0.000999991092708475]
20,-9.7290017947671e-06,-8.874218e-06,[0.0009999901304280688]
21,-9.765566028363537e-06,-8.958962e-06,[0.0009999891188006151]
22,-9.803919965634122e-06,-1.0023905e-05,[0.0009999880578262137]
23,-9.819968727242668e-06,-9.848526e-06,[0.0009999869475049695]
24,-9.840537222771672e-06,-9.1732445e-06,[0.0009999857878369917]
25,-9.96854760160204e-06,-1.0324328e-05,[0.0009999845788223952]
26,-1.0226208996755303e-05,-9.799713e-06,[0.000999983320461299]
27,-1.0366955120844067e-05,-9.903101e-06,[0.0009999820127538275]
28,-1.040200804709457e-05,-1.0015576e-05,[0.0009999806557001096]
29,-1.0221418961009476e-05,-1.0481434e-05,[0.0009999792493002792]
30,-1.0334143280488205e-05,-9.460438e-06,[0.0009999777935544754]
31,-1.0376742375228787e-05,-1.0194265e-05,[0.0009999762884628416]
32,-1.0416381064715096e-05,-7.83782e-06,[0.0009999747340255264]
33,-1.059882242770982e-05,-9.75376e-06,[0.0009999731302426833]
34,-1.0486741666682065e-05,-1.01859805e-05,[0.0009999714771144704]
35,-1.0550833940214943e-05,-9.388758e-06,[0.0009999697746410512]
36,-1.0481243225513027e-05,-9.774695e-06,[0.0009999680228225934]
37,-1.0517181181057822e-05,-1.0340641e-05,[0.00099996622165927]
38,-1.0678931903385092e-05,-1.0846059e-05,[0.000999964371151259]
39,-1.0537031630519778e-05,-1.0416357e-05,[0.0009999624712987425]
40,-1.0895919240283547e-05,-1.0587292e-05,[0.0009999605221019086]
41,-1.0745973304437939e-05,-1.0297029e-05,[0.0009999585235609492]
42,-1.0644251324265496e-05,-1.058472e-05,[0.0009999564756760619]
43,-1.0778442083392293e-05,-1.0604148e-05,[0.0009999543784474487]
44,-1.096869282264379e-05,-1.066903e-05,[0.0009999522318753164]
45,-1.0718355133576551e-05,-1.0472124e-05,[0.000999950035959877]
46,-1.0780281354527687e-05,-1.0374361e-05,[0.0009999477907013474]
47,-1.066656859620707e-05,-8.97359e-06,[0.000999945496099949]
48,-1.102251690099365e-05,-1.05464605e-05,[0.0009999431521559084]
49,-1.073969433491584e-05,-1.0981794e-05,[0.000999940758869457]
50,-1.0922926230705344e-05,-1.0197028e-05,[0.0009999383162408305]
51,-1.087321597879054e-05,-1.0372466e-05,[0.0009999358242702705]
52,-1.1004620318999514e-05,-4.7461194e-06,[0.0009999332829580228]
53,-1.1022781927749748e-05,-1.0577687e-05,[0.0009999306923043382]
54,-1.1095010086137335e-05,-1.0614314e-05,[0.0009999280523094725]
55,-1.1060244469263126e-05,-1.0576949e-05,[0.000999925362973686]
56,-1.1093405646533938e-05,-1.1093308e-05,[0.0009999226242972444]
57,-1.1062295743613505e-05,-1.0953568e-05,[0.000999919836280418]
58,-1.1106436704722001e-05,-1.1169229e-05,[0.0009999169989234815]
59,-1.1143969641125295e-05,-9.8409155e-06,[0.0009999141122267153]
60,-1.0799702522490406e-05,-5.168682e-06,[0.0009999111761904045]
61,-1.1104157783847768e-05,-1.0909147e-05,[0.0009999081908148386]
62,-1.1070464915974299e-05,-1.0920485e-05,[0.0009999051561003123]
63,-1.0994416334142442e-05,-1.0991808e-05,[0.0009999020720471252]
64,-1.1043174436053959e-05,-1.0922278e-05,[0.0009998989386555814]
65,-1.1201003326277715e-05,-9.952102e-06,[0.0009998957559259904]
66,-1.09959126348258e-05,-1.0776077e-05,[0.0009998925238586664]
67,-1.1110292689409107e-05,-1.0739017e-05,[0.0009998892424539281]
68,-1.0983223728544544e-05,-1.1445132e-05,[0.0009998859117120997]
69,-1.1125792207167251e-05,-1.1795121e-05,[0.0009998825316335097]
70,-1.1362376153556397e-05,-1.0620871e-05,[0.0009998791022184919]
71,-1.1210399952688021e-05,-1.0758216e-05,[0.0009998756234673846]
72,-1.1134771011711563e-05,-1.1631803e-05,[0.000999872095380531]
73,-1.1462202928669285e-05,-1.1563e-05,[0.0009998685179582795]
74,-1.1449001613073051e-05,-1.112995e-05,[0.0009998648912009833]
75,-1.1237409489694983e-05,-1.0534243e-05,[0.0009998612151090002]
76,-1.1176225234521553e-05,-1.1077602e-05,[0.0009998574896826929]
77,-1.12450930828345e-05,-1.139174e-05,[0.0009998537149224292]
78,-1.1244768757023849e-05,-1.0832276e-05,[0.0009998498908285818]
79,-1.1217049359402153e-05,-6.6657803e-06,[0.000999846017401528]
80,-1.115159575419966e-05,-1.0685721e-05,[0.00099984209464165]
81,-1.126968581957044e-05,-1.1579163e-05,[0.000999838122549335]
82,-1.1557865127542754e-05,-1.04615565e-05,[0.000999834101124975]
83,-1.1297557466605213e-05,-1.1546563e-05,[0.000999830030368967]
84,-1.132505194618716e-05,-1.1135718e-05,[0.0009998259102817128]
85,-1.1523375087563182e-05,-1.1243061e-05,[0.000999821740863619]
86,-1.1222778994124383e-05,-1.1963206e-05,[0.000999817522115097]
87,-1.133092100644717e-05,-1.135212e-05,[0.0009998132540365633]
88,-1.1483018897706643e-05,-1.1306405e-05,[0.0009998089366284391]
89,-1.143357512773946e-05,-1.0800031e-05,[0.0009998045698911505]
90,-1.1488067411846713e-05,-1.1644144e-05,[0.0009998001538251283]
91,-1.1528054892551154e-05,-1.1427334e-05,[0.0009997956884308086]
92,-1.1501301378302741e-05,-1.0991436e-05,[0.0009997911737086322]
93,-1.1449441262811889e-05,-1.110405e-05,[0.0009997866096590443]
94,-1.1527313199621858e-05,-1.0862218e-05,[0.0009997819962824957]
95,-1.1524172532517695e-05,-1.1003544e-05,[0.0009997773335794417]
96,-1.1437276862125146e-05,-1.1341516e-05,[0.0009997726215503423]
97,-1.1681165779009461e-05,-1.1291782e-05,[0.0009997678601956627]
98,-1.1487882238725433e-05,-1.0961653e-05,[0.0009997630495158728]
99,-1.1520943735376931e-05,-1.1036775e-05,[0.0009997581895114472]
100,-1.1456338324933312e-05,-1.0954809e-05,[0.000999753280182866]
101,-1.155569834736525e-05,-9.539003e-06,[0.0009997483215306133]
102,-1.1355398964951745e-05,-1.046155e-05,[0.0009997433135551788]
103,-1.1375465783203254e-05,-1.1008257e-05,[0.0009997382562570564]
104,-1.1429253027017694e-05,-1.0943748e-05,[0.0009997331496367455]
105,-1.1505015572765842e-05,-1.1057397e-05,[0.0009997279936947501]
106,-1.1511027332744561e-05,-1.1239264e-05,[0.0009997227884315791]
107,-1.15699691377813e-05,-8.871712e-06,[0.0009997175338477462]
108,-1.1903906488441862e-05,-1.1272673e-05,[0.00099971222994377]
109,-1.1702550727932248e-05,-1.1506285e-05,[0.000999706876720174]
110,-1.1498108779051109e-05,-1.117255e-05,[0.0009997014741774865]
111,-1.1752751379390248e-05,-1.1284944e-05,[0.0009996960223162407]
112,-1.1739274850697256e-05,-1.1219871e-05,[0.0009996905211369748]
113,-1.1627089497778797e-05,-1.1601177e-05,[0.0009996849706402316]
114,-1.1362490204192e-05,-1.1239383e-05,[0.000999679370826559]
115,-1.1677983275149018e-05,-1.1418827e-05,[0.0009996737216965096]
116,-1.1536580586835044e-05,-1.1407114e-05,[0.0009996680232506408]
117,-1.1522831755428342e-05,-1.0856533e-05,[0.0009996622754895152]
118,-1.1682132753776387e-05,-1.1564827e-05,[0.0009996564784137002]
119,-1.123816764447838e-05,-1.0942277e-05,[0.0009996506320237679]
120,-1.1349907981639263e-05,-1.1523035e-05,[0.000999644736320295]
121,-1.1514316611282993e-05,-1.1329985e-05,[0.0009996387913038638]
122,-1.1402353538869648e-05,-1.0804698e-05,[0.0009996327969750607]
123,-1.165666444649105e-05,-1.15259e-05,[0.0009996267533344775]
124,-1.1832473228423624e-05,-1.1230565e-05,[0.0009996206603827106]
125,-1.1760166307794861e-05,-1.1930205e-05,[0.0009996145181203617]
126,-1.1593958879529964e-05,-1.1563483e-05,[0.0009996083265480368]
127,-1.1679343242576578e-05,-1.1069792e-05,[0.0009996020856663467]
128,-1.1622928104770835e-05,-1.1452974e-05,[0.0009995957954759076]
129,-1.1631143115664599e-05,-1.1797815e-05,[0.0009995894559773405]
130,-1.182432461064309e-05,-1.2153202e-05,[0.0009995830671712706]
131,-1.176992291220813e-05,-1.1447477e-05,[0.0009995766290583287]
132,-1.1515121423144592e-05,-1.0228623e-05,[0.0009995701416391503]
133,-1.1645448012131965e-05,-1.1254209e-05,[0.0009995636049143757]
134,-1.1528679988259682e-05,-1.126819e-05,[0.0009995570188846498]
135,-1.1755983996408758e-05,-1.1015909e-05,[0.000999550383550623]
136,-1.1688691211020341e-05,-1.1776527e-05,[0.00099954369891295]
137,-1.1602365248108981e-05,-1.1783654e-05,[0.0009995369649722903]
138,-1.1825801357190357e-05,-1.128826e-05,[0.000999530181729309]
139,-1.1708332203852479e-05,-1.1264671e-05,[0.0009995233491846749]
140,-1.1677466682158411e-05,-1.0949528e-05,[0.0009995164673390628]
141,-1.1726470529538346e-05,-1.0857497e-05,[0.0009995095361931521]
142,-1.1507298495416762e-05,-1.0429858e-05,[0.0009995025557476265]
143,-1.1722621820808854e-05,-1.2229494e-05,[0.000999495526003175]
144,-1.1835065652121558e-05,-1.2197602e-05,[0.0009994884469604916]
145,-1.1702377923938911e-05,-1.1720517e-05,[0.000999481318620275]
146,-1.167986692962586e-05,-8.04264e-06,[0.0009994741409832283]
147,-1.1870894923049491e-05,-1.2207315e-05,[0.0009994669140500605]
148,-1.1740070203813956e-05,-1.1450436e-05,[0.0009994596378214845]
149,-1.1885542244272074e-05,-1.1590039e-05,[0.0009994523122982184]
150,-1.157390333901276e-05,-1.2033042e-05,[0.0009994449374809856]
151,-1.1920452925551217e-05,-1.129124e-05,[0.0009994375133705134]
152,-1.1790450389526087e-05,-1.1365996e-05,[0.0009994300399675346]
153,-1.2076726397936e-05,-1.209641e-05,[0.0009994225172727873]
154,-1.1791498400270939e-05,-1.1459044e-05,[0.0009994149452870135]
155,-1.1672096024994972e-05,-3.1338777e-06,[0.0009994073240109608]
156,-1.1822592114185682e-05,-1.1092977e-05,[0.0009993996534453813]
157,-1.2103277003916447e-05,-1.1722758e-05,[0.000999391933591032]
158,-1.180828930955613e-05,-1.2081255e-05,[0.0009993841644486748]
159,-1.1863012878166046e-05,-1.15586e-05,[0.0009993763460190764]
160,-1.183569829663611e-05,-1.0354314e-05,[0.0009993684783030088]
161,-1.1896639989572577e-05,-1.1517315e-05,[0.0009993605613012482]
162,-1.189218846775475e-05,-1.2097555e-05,[0.0009993525950145762]
163,-1.1947057373618009e-05,-1.24735625e-05,[0.0009993445794437789]
164,-1.1732304392353398e-05,-8.802679e-06,[0.0009993365145896473]
165,-1.173974305856973e-05,-1.1217636e-05,[0.0009993284004529775]
166,-1.186217868962558e-05,-1.0034873e-05,[0.0009993202370345705]
167,-1.1828702645289013e-05,-1.1521389e-05,[0.0009993120243352316]
168,-1.1998131867585471e-05,-1.1151331e-05,[0.0009993037623557716]
169,-1.194643273265683e-05,-1.2165023e-05,[0.000999295451097006]
170,-1.1938109128095676e-05,-1.2637266e-05,[0.000999287090559755]
171,-1.1873327730427264e-05,-1.1227318e-05,[0.0009992786807448437]
172,-1.1955950321862474e-05,-9.356492e-06,[0.0009992702216531021]
173,-1.2001590312138432e-05,-1.14657805e-05,[0.0009992617132853652]
174,-1.1933232781302649e-05,-1.2181146e-05,[0.0009992531556424727]
175,-1.2156428238085936e-05,-1.1340001e-05,[0.0009992445487252693]
176,-1.1943355548282853e-05,-1.2198422e-05,[0.0009992358925346042]
177,-1.216257514897734e-05,-1.2374112e-05,[0.0009992271870713318]
178,-1.2000154038105393e-05,-1.0932204e-05,[0.0009992184323363116]
179,-1.2005994631181238e-05,-1.2605746e-05,[0.0009992096283304073]
180,-1.2138251531723653e-05,-1.1341424e-05,[0.000999200775054488]
181,-1.1798295236076229e-05,-1.1479954e-05,[0.0009991918725094273]
182,-1.1981542229477782e-05,-1.1433264e-05,[0.0009991829206961041]
183,-1.2140396484028315e-05,-1.0624638e-05,[0.0009991739196154017]
184,-1.2039130433549872e-05,-1.2318876e-05,[0.0009991648692682087]
185,-1.1871114656969439e-05,-1.23495165e-05,[0.000999155769655418]
186,-1.187958469017758e-05,-1.2557344e-05,[0.0009991466207779282]
187,-1.205422731800354e-05,-1.124406e-05,[0.0009991374226366416]
188,-1.1862001429108204e-05,-1.1570177e-05,[0.0009991281752324667]
189,-1.2179403893242124e-05,-1.17251275e-05,[0.0009991188785663156]
190,-1.1967256978095974e-05,-1.1279969e-05,[0.0009991095326391064]
191,-1.1986759363935563e-05,-1.1756569e-05,[0.000999100137451761]
192,-1.2312876970099751e-05,-1.1230912e-05,[0.0009990906930052068]
193,-1.2224623060319572e-05,-1.1968884e-05,[0.000999081199300376]
194,-1.2527462240541354e-05,-1.1280114e-05,[0.0009990716563382058]
195,-1.2364797385089332e-05,-1.2168957e-05,[0.0009990620641196378]
196,-1.225636506205774e-05,-1.190107e-05,[0.0009990524226456186]
197,-1.2485233582992805e-05,-1.2382385e-05,[0.0009990427319171002]
198,-1.2190203960926738e-05,-1.2647763e-05,[0.0009990329919350386]
199,-1.2402226366248214e-05,-1.2525406e-05,[0.0009990232027003952]
200,-1.2773142316291342e-05,-1.28238435e-05,[0.0009990133642141363]
201,-1.274274218303617e-05,-1.2871481e-05,[0.0009990034764772327]
202,-1.2481725570978597e-05,-1.1503991e-05,[0.0009989935394906606]
203,-1.2272275944269495e-05,-1.2875631e-05,[0.0009989835532554004]
204,-1.2639123087865301e-05,-1.1912984e-05,[0.000998973517772438]
205,-1.2506718394433847e-05,-1.13381175e-05,[0.0009989634330427638]
206,-1.2263402004464296e-05,-1.142094e-05,[0.0009989532990673732]
207,-1.2172363676654641e-05,-1.1481574e-05,[0.000998943115847266]
208,-1.2183019771327963e-05,-7.9674755e-06,[0.0009989328833834475]
209,-1.2554122804431245e-05,-1.198169e-05,[0.0009989226016769276]
210,-1.2480690838856389e-05,-1.2617237e-05,[0.0009989122707287211]
211,-1.2696278827206697e-05,-1.0524972e-05,[0.0009989018905398475]
212,-1.2592528310051421e-05,-1.2325769e-05,[0.0009988914611113314]
213,-1.240538895217469e-05,-1.3111341e-05,[0.0009988809824442021]
214,-1.2666967086261138e-05,-1.2605428e-05,[0.000998870454539494]
215,-1.2748235531034879e-05,-1.2236437e-05,[0.0009988598773982458]
216,-1.3237811435828916e-05,-1.2699581e-05,[0.0009988492510215015]
217,-1.2816785965696908e-05,-1.2990713e-05,[0.0009988385754103103]
218,-1.2247951872268459e-05,-1.2569501e-05,[0.0009988278505657251]
219,-1.2665812664636179e-05,-1.3386841e-05,[0.000998817076488805]
220,-1.2925912142236484e-05,-1.3481919e-05,[0.000998806253180613]
221,-1.2935925224155653e-05,-1.2834251e-05,[0.0009987953806422176]
222,-1.3150130325811914e-05,-1.3419306e-05,[0.0009987844588746919]
223,-1.2732920731650666e-05,-1.2812328e-05,[0.0009987734878791135]
224,-1.3027380191488191e-05,-1.1760084e-05,[0.0009987624676565656]
225,-1.3013613261136925e-05,-1.25960805e-05,[0.0009987513982081355]
226,-1.3459182082442566e-05,-1.2558881e-05,[0.0009987402795349157]
227,-1.3171480622986564e-05,-1.35077835e-05,[0.000998729111638004]
228,-1.3399074305198155e-05,-1.2890659e-05,[0.0009987178945185021]
229,-1.2746044831146719e-05,-1.3030028e-05,[0.0009987066281775174]
230,-1.2870509272033814e-05,-1.2848693e-05,[0.0009986953126161619]
231,-1.3215448052505963e-05,-1.2415781e-05,[0.0009986839478355522]
232,-1.3063859751127892e-05,-1.3597147e-05,[0.0009986725338368102]
233,-1.3330639922060072e-05,-9.169218e-06,[0.0009986610706210622]
234,-1.325544517385424e-05,-1.2682429e-05,[0.0009986495581894397]
235,-1.3421538278635126e-05,-1.35718965e-05,[0.0009986379965430787]
236,-1.3285671957419255e-05,-1.212755e-05,[0.0009986263856831205]
237,-1.2711850104096811e-05,-1.24638345e-05,[0.0009986147256107112]
238,-1.2916741434310098e-05,-1.3221114e-05,[0.0009986030163270012]
239,-1.3410389601631324e-05,-1.3250837e-05,[0.0009985912578331464]
240,-1.3734000003751134e-05,-1.14345075e-05,[0.0009985794501303072]
