,train,val,lr
0,1.6625775181466906e-06,0.00012238917,[0.001]
1,-1.331466910414747e-06,3.6134377e-06,[0.0009999999753259891]
2,-1.9816803160210837e-06,-1.7648316e-06,[0.0009999999013039593]
3,-2.390219060544041e-06,-2.3964587e-06,[0.0009999997779339175]
4,-2.6822581048691064e-06,-2.5927789e-06,[0.000999999605215876]
5,-2.935204975074157e-06,-2.7489668e-06,[0.0009999993831498518]
6,-3.144346624139871e-06,-2.9226624e-06,[0.000999999111735867]
7,-3.2659067528584275e-06,-3.2282474e-06,[0.0009999987909739482]
8,-3.5003491120733086e-06,-3.244791e-06,[0.0009999984208641272]
9,-3.6749427863469465e-06,-3.6479382e-06,[0.0009999980014064405]
10,-3.843325521302176e-06,-3.7413165e-06,[0.0009999975326009294]
11,-4.050518577969342e-06,-3.924989e-06,[0.00099999701444764]
12,-4.057323121742229e-06,-4.0635273e-06,[0.0009999964469466238]
13,-4.257428781784256e-06,-4.1720823e-06,[0.0009999958300979368]
14,-4.399954923428595e-06,-4.3064047e-06,[0.0009999951639016397]
15,-4.488087051868206e-06,-4.478974e-06,[0.0009999944483577983]
16,-4.634230981537257e-06,-4.412815e-06,[0.000999993683466483]
17,-4.630465309674037e-06,-4.491147e-06,[0.0009999928692277697]
18,-4.760465344588738e-06,-4.609396e-06,[0.0009999920056417387]
19,-4.897490362054668e-06,-4.7825665e-06,[0.000999991092708475]
20,-4.9808003495854795e-06,-5.033699e-06,[0.0009999901304280688]
21,-5.0505094350228316e-06,-5.3197227e-06,[0.0009999891188006151]
22,-5.237790401224629e-06,-4.9676864e-06,[0.0009999880578262137]
23,-5.16073437211162e-06,-5.2051996e-06,[0.0009999869475049695]
24,-5.237330788077088e-06,-5.4456104e-06,[0.0009999857878369917]
25,-5.31980558662326e-06,-5.3845433e-06,[0.0009999845788223952]
26,-5.453010908240686e-06,-5.518495e-06,[0.000999983320461299]
27,-5.428219628811348e-06,-5.610182e-06,[0.0009999820127538275]
28,-5.47550548617437e-06,-5.519779e-06,[0.0009999806557001096]
29,-5.504390856003738e-06,-5.373468e-06,[0.0009999792493002792]
30,-5.5657768825767565e-06,-5.4513007e-06,[0.0009999777935544754]
31,-5.844277666255948e-06,-5.951642e-06,[0.0009999762884628416]
32,-5.956685163255315e-06,-5.985296e-06,[0.0009999747340255264]
33,-5.983668233966455e-06,-5.967837e-06,[0.0009999731302426833]
34,-5.925937512074597e-06,-5.9967265e-06,[0.0009999714771144704]
35,-5.749684260081267e-06,-6.1508617e-06,[0.0009999697746410512]
36,-5.930589895797311e-06,-5.4017655e-06,[0.0009999680228225934]
37,-5.874964381291648e-06,-5.4582847e-06,[0.00099996622165927]
38,-6.018260592099978e-06,-6.0648863e-06,[0.000999964371151259]
39,-6.23976075075916e-06,-5.8761834e-06,[0.0009999624712987425]
40,-6.099824531702325e-06,-6.4887386e-06,[0.0009999605221019086]
41,-6.227682888493291e-06,-6.545443e-06,[0.0009999585235609492]
42,-6.198660412337631e-06,-6.027675e-06,[0.0009999564756760619]
43,-6.142055235613953e-06,-6.2240247e-06,[0.0009999543784474487]
44,-6.241280743779498e-06,-6.069032e-06,[0.0009999522318753164]
45,-6.271024176385254e-06,-5.629674e-06,[0.000999950035959877]
46,-6.134763225418283e-06,-5.7679854e-06,[0.0009999477907013474]
47,-6.155519167805324e-06,-5.9989648e-06,[0.000999945496099949]
48,-6.045637974239071e-06,-5.176279e-06,[0.0009999431521559084]
49,-6.050657839296037e-06,-4.896944e-06,[0.000999940758869457]
50,-6.198741220941883e-06,-6.2959284e-06,[0.0009999383162408305]
51,-6.181446087794029e-06,-6.270635e-06,[0.0009999358242702705]
52,-6.351534648274537e-06,-6.7380024e-06,[0.0009999332829580228]
53,-6.302177280304022e-06,-6.1907335e-06,[0.0009999306923043382]
54,-6.198045821292908e-06,-5.668643e-06,[0.0009999280523094725]
55,-6.408241551980609e-06,-6.522121e-06,[0.000999925362973686]
56,-6.221562034625094e-06,-6.419253e-06,[0.0009999226242972444]
57,-6.336281603580573e-06,-6.39453e-06,[0.000999919836280418]
58,-6.460747727032867e-06,-6.340749e-06,[0.0009999169989234815]
59,-6.434214446926489e-06,-6.413906e-06,[0.0009999141122267153]
60,-6.292577563726809e-06,-6.0341918e-06,[0.0009999111761904045]
61,-6.403908400898217e-06,-6.3703446e-06,[0.0009999081908148386]
62,-6.478941304521868e-06,-6.0003094e-06,[0.0009999051561003123]
63,-6.446287534345174e-06,-6.406979e-06,[0.0009999020720471252]
64,-6.448050771723501e-06,-6.1427077e-06,[0.0009998989386555814]
65,-6.43904445496446e-06,-6.5532327e-06,[0.0009998957559259904]
66,-6.501196367025841e-06,-6.5687714e-06,[0.0009998925238586664]
67,-6.447642408602405e-06,-6.2691856e-06,[0.0009998892424539281]
68,-6.490965552075067e-06,-6.095636e-06,[0.0009998859117120997]
69,-6.506302861453151e-06,-6.4715937e-06,[0.0009998825316335097]
70,-6.503932036139304e-06,-5.974216e-06,[0.0009998791022184919]
71,-6.532832594530192e-06,-5.7128404e-06,[0.0009998756234673846]
72,-6.215703706402564e-06,-6.145045e-06,[0.000999872095380531]
73,-6.39240088275983e-06,-6.198253e-06,[0.0009998685179582795]
74,-6.350453668346745e-06,-5.9642016e-06,[0.0009998648912009833]
75,-6.44481833660393e-06,-6.6711027e-06,[0.0009998612151090002]
76,-6.526555216623819e-06,-6.5028516e-06,[0.0009998574896826929]
77,-6.49685857752047e-06,-6.0648117e-06,[0.0009998537149224292]
78,-6.622518776566722e-06,-6.5640297e-06,[0.0009998498908285818]
79,-6.631565884163137e-06,-6.7470132e-06,[0.000999846017401528]
80,-6.588704400201095e-06,-5.838684e-06,[0.00099984209464165]
81,-6.546752501890296e-06,-6.445743e-06,[0.000999838122549335]
82,-6.543670815517544e-06,-6.693165e-06,[0.000999834101124975]
83,-6.331448093988001e-06,-6.4927376e-06,[0.000999830030368967]
84,-6.483883498731302e-06,-6.1783016e-06,[0.0009998259102817128]
