,train,val,lr
0,2.4660177420088305e-07,3.9352053e-05,[0.001]
1,-3.3852590703986606e-07,4.1398945e-07,[0.000999999989033773]
2,-6.018768601734336e-07,-8.001452e-07,[0.0009999999561350922]
3,-7.60681268729968e-07,-8.9682004e-07,[0.0009999999013039593]
4,-8.626379894849379e-07,-9.5249067e-07,[0.0009999998245403766]
5,-9.394784115102084e-07,-8.982656e-07,[0.0009999997258443474]
6,-9.9202582646285e-07,-9.863893e-07,[0.000999999605215876]
7,-1.105706326143263e-06,-1.1329893e-06,[0.0009999994626549678]
8,-1.1063443366765568e-06,-9.2465325e-07,[0.0009999992981616292]
9,-1.1362693953742565e-06,-1.0964421e-06,[0.000999999111735867]
10,-1.1929193760806812e-06,-1.32806e-06,[0.00099999890337769]
11,-1.2448867892089766e-06,-1.136063e-06,[0.0009999986730871064]
12,-1.2604823723449953e-06,-1.131482e-06,[0.0009999984208641272]
13,-1.2982916473447403e-06,-1.3494464e-06,[0.000999998146708763]
14,-1.312993163082865e-06,-1.1786051e-06,[0.000999997850621026]
15,-1.3328100408216414e-06,-1.3687086e-06,[0.0009999975326009292]
16,-1.3679976632374745e-06,-1.3579688e-06,[0.0009999971926484862]
17,-1.4348930903906875e-06,-1.3594993e-06,[0.0009999968307637126]
18,-1.4154064842841762e-06,-1.5079055e-06,[0.0009999964469466235]
19,-1.4255259316087176e-06,-1.496716e-06,[0.0009999960411972366]
20,-1.4814941550866934e-06,-1.4643408e-06,[0.000999995613515569]
21,-1.556028541926935e-06,-1.4943931e-06,[0.0009999951639016397]
22,-1.5388282577077916e-06,-1.50826e-06,[0.0009999946923554682]
23,-1.5525850358244498e-06,-1.6283046e-06,[0.0009999941988770755]
24,-1.6113419633256854e-06,-1.6712486e-06,[0.000999993683466483]
25,-1.687146789208782e-06,-1.55617e-06,[0.0009999931461237136]
26,-1.662458157625224e-06,-1.6148609e-06,[0.0009999925868487906]
27,-1.7107609664890333e-06,-1.5770044e-06,[0.0009999920056417387]
28,-1.7455721490478027e-06,-1.621973e-06,[0.0009999914025025836]
29,-1.8007792846219672e-06,-1.5257843e-06,[0.000999990777431351]
30,-1.8120560298484634e-06,-1.8330622e-06,[0.0009999901304280688]
31,-1.8611064774631813e-06,-1.764608e-06,[0.0009999894614927656]
32,-1.8789914747685544e-06,-1.8559228e-06,[0.0009999887706254706]
33,-1.8573027887214266e-06,-1.8440444e-06,[0.000999988057826214]
34,-1.9383532389838363e-06,-1.9324257e-06,[0.0009999873230950268]
35,-1.8964226001116912e-06,-2.0159468e-06,[0.0009999865664319417]
36,-1.965164415196341e-06,-2.045297e-06,[0.000999985787836992]
37,-1.908572994580027e-06,-1.8380191e-06,[0.0009999849873102112]
38,-1.9710298033714935e-06,-1.7984278e-06,[0.000999984164851635]
39,-2.0046882241331334e-06,-1.9278968e-06,[0.000999983320461299]
40,-2.006905697271577e-06,-1.8684452e-06,[0.0009999824541392407]
41,-2.025185244747263e-06,-1.9302174e-06,[0.0009999815658854978]
42,-2.021109958150191e-06,-1.9336444e-06,[0.0009999806557001096]
43,-2.029525910529628e-06,-2.073787e-06,[0.0009999797235831155]
44,-2.0355321112219827e-06,-2.0485168e-06,[0.0009999787695345568]
45,-2.0541207959468013e-06,-2.1842968e-06,[0.0009999777935544754]
46,-2.0757786160174875e-06,-2.18645e-06,[0.0009999767956429138]
47,-2.11950971333863e-06,-2.2354802e-06,[0.0009999757757999158]
48,-2.110267587340786e-06,-2.1838061e-06,[0.0009999747340255262]
49,-2.1594883037323598e-06,-2.0460993e-06,[0.000999973670319791]
50,-2.139890443686454e-06,-2.0498414e-06,[0.0009999725846827564]
51,-2.167364436900243e-06,-2.268616e-06,[0.0009999714771144704]
52,-2.130062739524874e-06,-1.9975173e-06,[0.0009999703476149813]
53,-2.239866262243595e-06,-1.9838228e-06,[0.0009999691961843388]
54,-2.2021582026354734e-06,-2.1064777e-06,[0.0009999680228225934]
55,-2.1335485371309913e-06,-2.3050445e-06,[0.0009999668275297963]
56,-2.2310313397611025e-06,-2.246577e-06,[0.0009999656103060004]
57,-2.2264075823841266e-06,-2.1752246e-06,[0.000999964371151259]
58,-2.2261182948568605e-06,-2.1833628e-06,[0.0009999631100656259]
59,-2.216742223026813e-06,-2.2762874e-06,[0.000999961827049157]
60,-2.1978378754283765e-06,-2.2197357e-06,[0.0009999605221019084]
61,-2.2296530005405656e-06,-2.242489e-06,[0.0009999591952239374]
62,-2.2244653564484906e-06,-2.2291754e-06,[0.000999957846415302]
63,-2.2529182615471656e-06,-2.315877e-06,[0.0009999564756760617]
64,-2.290946599714516e-06,-2.0442187e-06,[0.0009999550830062764]
65,-2.2909692233952226e-06,-2.3110613e-06,[0.0009999536684060072]
66,-2.3157567284215476e-06,-2.2055015e-06,[0.0009999522318753162]
67,-2.290540487592807e-06,-2.392209e-06,[0.0009999507734142665]
68,-2.3449905711458995e-06,-2.287316e-06,[0.0009999492930229219]
69,-2.32336556109658e-06,-2.1969795e-06,[0.0009999477907013474]
70,-2.2898746237842714e-06,-2.2901588e-06,[0.000999946266449609]
71,-2.342820766898512e-06,-2.0908828e-06,[0.0009999447202677734]
72,-2.319182885912596e-06,-2.2629436e-06,[0.0009999431521559084]
73,-2.3004929744274704e-06,-2.2315387e-06,[0.0009999415621140832]
74,-2.339648972338182e-06,-2.4138471e-06,[0.000999939950142367]
75,-2.377489317950676e-06,-2.2661209e-06,[0.0009999383162408307]
76,-2.3631881276742208e-06,-2.422361e-06,[0.0009999366604095462]
77,-2.317007988494879e-06,-2.2741567e-06,[0.0009999349826485858]
78,-2.3768581286276457e-06,-2.4084131e-06,[0.0009999332829580233]
79,-2.3884716256361573e-06,-2.3922644e-06,[0.000999931561337933]
80,-2.4108213438012172e-06,-2.2915922e-06,[0.000999929817788391]
81,-2.3546388547401874e-06,-2.4139858e-06,[0.0009999280523094731]
82,-2.4162700356100686e-06,-2.4646124e-06,[0.0009999262649012571]
83,-2.3881601464381675e-06,-2.382148e-06,[0.0009999244555638212]
84,-2.3701374857409974e-06,-2.3197938e-06,[0.000999922624297245]
85,-2.4136068304869695e-06,-2.3598973e-06,[0.0009999207711016088]
86,-2.402440736659628e-06,-2.2732102e-06,[0.0009999188959769938]
87,-2.3235981643665584e-06,-2.2577722e-06,[0.0009999169989234823]
88,-2.41946154346806e-06,-2.0280825e-06,[0.0009999150799411575]
89,-2.3985725192687823e-06,-2.2607067e-06,[0.0009999131390301037]
90,-2.4125497475324664e-06,-2.4080355e-06,[0.0009999111761904056]
91,-2.4225463675975333e-06,-2.2618099e-06,[0.0009999091914221498]
92,-2.383469063715893e-06,-2.5315842e-06,[0.000999907184725423]
93,-2.485737991264614e-06,-2.406485e-06,[0.0009999051561003134]
94,-2.492060571057664e-06,-2.3004811e-06,[0.00099990310554691]
95,-2.492478756721539e-06,-2.5508473e-06,[0.0009999010330653028]
96,-2.402596055617323e-06,-2.578058e-06,[0.0009998989386555824]
97,-2.4046187490966985e-06,-2.5340419e-06,[0.0009998968223178411]
98,-2.296053753525484e-06,-2.0914792e-06,[0.0009998946840521715]
99,-2.430315453239018e-06,-2.3067178e-06,[0.0009998925238586674]
100,-2.4459217911498856e-06,-2.2627328e-06,[0.0009998903417374238]
101,-2.4541773200326134e-06,-2.3381772e-06,[0.000999888137688536]
