,train,val,lr
0,8.222113865485881e-06,0.0001262209,[0.001]
1,3.277701762272045e-06,6.0372267e-06,[0.0009999999753259891]
2,1.533203885628609e-06,9.914347e-07,[0.0009999999013039593]
3,1.8662064036334413e-07,2.7695771e-06,[0.0009999997779339175]
4,-8.211126925061762e-07,8.361576e-06,[0.000999999605215876]
5,-1.938041486937436e-06,1.03705615e-05,[0.0009999993831498518]
6,-2.9107440923326068e-06,9.125253e-06,[0.000999999111735867]
7,-3.131337302875181e-06,5.3069703e-06,[0.0009999987909739482]
8,-3.927515558643791e-06,-1.5205507e-06,[0.0009999984208641272]
9,-4.583045620165649e-06,-5.26176e-07,[0.0009999980014064405]
10,-4.742788405565079e-06,5.3380745e-07,[0.0009999975326009294]
11,-5.005256161894067e-06,-4.175284e-06,[0.00099999701444764]
12,-5.572227928496432e-06,-3.3475242e-06,[0.0009999964469466238]
13,-5.877878083992982e-06,-1.2017355e-06,[0.0009999958300979368]
14,-6.3886744555929905e-06,7.117439e-06,[0.0009999951639016397]
15,-6.456702249124646e-06,-4.5839593e-06,[0.0009999944483577983]
16,-6.7156347995478425e-06,-1.0247362e-06,[0.000999993683466483]
17,-5.301717692418606e-06,-6.6616726e-06,[0.0009999928692277697]
18,-6.483542119894992e-06,-7.417729e-06,[0.0009999920056417387]
19,-7.019808390396065e-06,-6.633506e-06,[0.000999991092708475]
20,-6.918636472619255e-06,6.1796004e-07,[0.0009999901304280688]
21,-6.55290496069938e-06,-6.454913e-06,[0.0009999891188006151]
22,-7.257745755850919e-06,-7.372443e-06,[0.0009999880578262137]
23,-7.93853278082679e-06,-4.7365484e-06,[0.0009999869475049695]
24,-7.720033045188756e-06,-3.2140965e-06,[0.0009999857878369917]
25,-7.759971913401386e-06,-5.611439e-06,[0.0009999845788223952]
26,-8.229475179177826e-06,-7.4047816e-06,[0.000999983320461299]
27,-7.435601537508773e-06,-7.1988006e-06,[0.0009999820127538275]
28,-8.34775519251707e-06,-7.729006e-06,[0.0009999806557001096]
29,-8.729879573365906e-06,-7.1027916e-06,[0.0009999792493002792]
30,-8.844604963087477e-06,-7.2146518e-06,[0.0009999777935544754]
