,train,val,lr
0,7.076269049832717e-07,4.133462e-05,[0.001]
1,-4.340035346217519e-07,1.9962288e-06,[0.0009999999753259891]
2,-9.655536132413545e-07,-6.0354097e-07,[0.0009999999013039593]
3,-1.2723427857963543e-06,-9.45623e-07,[0.0009999997779339175]
4,-1.6065636714301945e-06,-1.3510268e-06,[0.000999999605215876]
5,-1.8937136360364094e-06,-8.260096e-07,[0.0009999993831498518]
6,-2.0545061147458908e-06,-1.9927948e-06,[0.000999999111735867]
7,-2.273204540870211e-06,-2.0381337e-06,[0.0009999987909739482]
8,-2.296616310104582e-06,1.0810909e-09,[0.0009999984208641272]
9,-2.546754262766626e-06,-2.1052826e-06,[0.0009999980014064405]
10,-2.7532132662599906e-06,-9.2435886e-07,[0.0009999975326009294]
11,-3.008230373779952e-06,-2.5366828e-06,[0.00099999701444764]
12,-3.1433459298568777e-06,-2.131228e-06,[0.0009999964469466238]
13,-3.237595274185878e-06,-2.8646043e-06,[0.0009999958300979368]
14,-3.235691133340879e-06,-3.1536097e-06,[0.0009999951639016397]
15,-3.4972644925801434e-06,-2.5463885e-06,[0.0009999944483577983]
16,-3.602995457185898e-06,-3.5353496e-06,[0.000999993683466483]
17,-3.601032130973181e-06,-3.4103311e-06,[0.0009999928692277697]
18,-3.650860730886052e-06,-2.6121754e-06,[0.0009999920056417387]
19,-3.8253968114077e-06,-2.9389873e-06,[0.000999991092708475]
20,-3.92313220345386e-06,-3.8595813e-06,[0.0009999901304280688]
21,-3.999612818006426e-06,-3.670518e-06,[0.0009999891188006151]
22,-4.073964919371065e-06,-3.6075376e-06,[0.0009999880578262137]
23,-4.098699582755216e-06,-2.811589e-06,[0.0009999869475049695]
24,-4.127979354962008e-06,-3.3421336e-06,[0.0009999857878369917]
25,-4.205367440590635e-06,-3.8119174e-06,[0.0009999845788223952]
26,-4.2799994389497446e-06,-3.0545539e-06,[0.000999983320461299]
27,-4.353094345788122e-06,-4.2455968e-06,[0.0009999820127538275]
28,-4.369437419882161e-06,-4.065202e-06,[0.0009999806557001096]
29,-4.417285799718229e-06,-3.0432636e-06,[0.0009999792493002792]
30,-4.24123577431601e-06,-3.4897953e-06,[0.0009999777935544754]
31,-4.58004742540652e-06,-3.7099658e-06,[0.0009999762884628416]
32,-4.5071906697558005e-06,-3.4290074e-06,[0.0009999747340255264]
33,-4.521147320701857e-06,-4.332439e-06,[0.0009999731302426833]
34,-4.5255595978233035e-06,-4.427385e-06,[0.0009999714771144704]
35,-4.604800551533117e-06,-4.393832e-06,[0.0009999697746410512]
36,-4.659555133912363e-06,-4.480341e-06,[0.0009999680228225934]
37,-4.6521112835762326e-06,-4.680666e-06,[0.00099996622165927]
38,-4.777547019330086e-06,-4.6372975e-06,[0.000999964371151259]
39,-4.835052368434844e-06,-4.5802926e-06,[0.0009999624712987425]
40,-4.864469838139485e-06,-4.5795223e-06,[0.0009999605221019086]
41,-4.754176597998594e-06,-4.9284413e-06,[0.0009999585235609492]
42,-4.923457800032338e-06,-4.1187823e-06,[0.0009999564756760619]
43,-4.832885952055221e-06,-4.433147e-06,[0.0009999543784474487]
